"Category Name","URL Key","Parent Path"
"Trending Collection",trending-collection,"Kalyan – US"
KJ-us-subcategory,kj-us-subcategory,"Kalyan – US"
Bangle,bangle,"Kalyan – US"
Chain,chain,"Kalyan – US"
Necklace,necklace,"Kalyan – US"
Earring,earring,"Kalyan – US"
Jhumka,earring-jhumka,Earring
"Droops and Dangles Earring",earring-droops-and-dangles-earring,Earring
"Hoops Earring",earring-hoops-earring,Earring
"Stud Earring",earring-stud-earring,Earring
"Long Earrings",earring-long-earrings,Earring
"Chandelier Earrings",earring-chandelier-earrings,Earring
"Chand Bali Earrings",earring-chand-bali-earrings,Earring
"Ear Cuffs",earring-ear-cuffs,Earring
"Bail Pendant",earring-bail-pendant,Earring
"Loose Bracelets",earring-loose-bracelets,Earring
"Classic Ring",earring-classic-ring,Earring
Pendant,pendant,"Kalyan – US"
Mangalsutra,mangalsutra,"Kalyan – US"
Bracelet,bracelet,"Kalyan – US"
Ring,ring,"Kalyan – US"
Anklet,anklet,"Kalyan – US"
"Top Menu",top-menu,"Kalyan – US"
CZ,cz,"Top Menu"
"CZ and Gemstone",cz-and-gemstone,"Top Menu"
"Fancy Stone",fancy-stone,"Top Menu"
Gold,gold,"Top Menu"
Diamond,diamond,"Top Menu"
Enamel,enamel,"Top Menu"
Gemstone,gemstone,"Top Menu"
